iter	RMSE
0	1.712190032
1	1.709261687
2	1.705963255
3	1.702005805
4	1.698012481
5	1.693438661
6	1.689719019
7	1.686619905
8	1.684482608
9	1.682253084
10	1.681665522
11	1.678628868
12	1.676006383
13	1.671789499
14	1.668852344
15	1.666520321
16	1.662134605
17	1.659152097
18	1.656374957
19	1.653208799
20	1.649670257
21	1.645458308
22	1.641358887
23	1.63795465
24	1.635377501
25	1.632316973
26	1.628163902
27	1.625231454
28	1.62194133
29	1.617628516
30	1.614322431
31	1.611211602
32	1.607370552
33	1.605377367
34	1.600862485
35	1.598293562
36	1.595204292
37	1.592403571
38	1.588095177
39	1.585163813
40	1.583059033
41	1.580153863
42	1.577918982
43	1.575077573
44	1.572064119
45	1.568616419
46	1.566217205
47	1.562953095
48	1.561166263
49	1.558525454
50	1.55653429
51	1.554007442
52	1.552326104
53	1.549705955
54	1.546971052
55	1.545052328
56	1.542918496
57	1.540435448
58	1.538466386
59	1.534255912
60	1.531180415
61	1.529008205
62	1.527901485
63	1.524572701
64	1.521680998
65	1.519559666
66	1.517140903
67	1.515654591
68	1.513642931
69	1.512045934
70	1.508255446
71	1.505727458
72	1.503419353
73	1.500261796
74	1.497237362
75	1.494600451
76	1.492974115
77	1.490813524
78	1.488957796
79	1.487626813
80	1.484691094
81	1.481049568
82	1.478827057
83	1.476635466
84	1.473745884
85	1.470303489
86	1.468166716
87	1.465784116
88	1.463154724
89	1.461672661
90	1.458919339
91	1.455560968
92	1.454061886
93	1.452141748
94	1.451374489
95	1.450087955
96	1.448113772
97	1.4463676
98	1.444496845
99	1.442089468
100	1.439568611
101	1.436970039
102	1.434034592
103	1.43199522
104	1.428873399
105	1.426255564
106	1.424223544
107	1.422167189
108	1.420022095
109	1.418513557
110	1.416249819
111	1.414154401
112	1.412774439
113	1.410128627
114	1.407884426
115	1.404936835
116	1.403464416
117	1.401829049
118	1.39949143
119	1.397681708
120	1.395095498
121	1.393413831
122	1.39092456
123	1.388229555
124	1.386808636
125	1.384547579
126	1.382908497
127	1.381860234
128	1.379271051
129	1.378113213
130	1.37611131
131	1.375034798
132	1.373797418
133	1.371904917
134	1.370289475
135	1.36855056
136	1.366787161
137	1.36459028
138	1.361399366
139	1.359836214
140	1.357670413
141	1.355153056
142	1.353266592
143	1.350592856
144	1.348986991
145	1.346808507
146	1.344324416
147	1.343197923
148	1.339866559
149	1.337259623
150	1.335255914
151	1.333285862
152	1.331533731
153	1.329575285
154	1.326704376
155	1.323806188
156	1.322632199
157	1.320688302
158	1.318147134
159	1.316619292
160	1.315485713
161	1.314249111
162	1.313226151
163	1.312208831
164	1.311034615
165	1.309077416
166	1.307250719
167	1.304791195
168	1.3034392
169	1.302011888
170	1.300766729
171	1.29956484
172	1.297791075
173	1.295238244
174	1.293115254
175	1.291674093
176	1.289401336
177	1.287977745
178	1.286637705
179	1.285004178
180	1.28345912
181	1.282304453
182	1.280204533
183	1.279151281
184	1.277158144
185	1.274621538
186	1.27234926
187	1.271127503
188	1.269414113
189	1.267663138
190	1.265478128
