iter	Passed	Remaining
0	197	197224
1	201	100699
2	205	68373
3	209	52244
4	212	42355
5	214	35588
6	216	30760
7	218	27127
8	220	24310
9	222	22059
10	224	20141
11	226	18668
12	228	17366
13	230	16257
14	232	15288
15	234	14442
16	237	13704
17	239	13042
18	241	12451
19	243	11915
20	245	11428
21	247	10986
22	249	10585
23	251	10230
24	253	9904
25	255	9590
26	258	9301
27	260	9029
28	262	8774
29	264	8540
30	266	8342
31	269	8152
32	271	7955
33	273	7771
34	275	7596
35	277	7434
36	281	7320
37	284	7189
38	286	7048
39	288	6914
40	290	6785
41	292	6667
42	295	6569
43	298	6487
44	301	6398
45	304	6312
46	307	6231
47	309	6138
48	312	6064
49	315	5994
50	318	5925
51	321	5863
52	324	5800
53	327	5742
54	330	5682
55	332	5609
56	334	5538
57	337	5479
58	339	5412
59	341	5348
60	344	5301
61	347	5258
62	349	5198
63	352	5150
64	354	5094
65	356	5040
66	366	5100
67	371	5087
68	376	5085
69	386	5128
70	388	5089
71	392	5054
72	394	5011
73	406	5090
74	409	5048
75	413	5033
76	417	5000
77	419	4958
78	424	4945
79	429	4938
80	432	4907
81	436	4881
82	441	4879
83	444	4846
84	447	4815
85	450	4783
86	455	4783
87	458	4753
88	461	4724
89	464	4696
90	467	4672
91	471	4651
92	474	4626
93	477	4599
94	495	4724
95	501	4727
96	506	4711
97	509	4686
98	512	4664
99	516	4652
100	520	4628
101	522	4603
102	525	4578
103	528	4554
104	532	4538
105	534	4507
106	536	4478
107	538	4449
108	540	4420
109	542	4391
110	547	4381
111	549	4354
112	551	4328
113	554	4311
114	557	4291
115	576	4395
116	584	4413
117	587	4388
118	589	4362
119	597	4380
120	599	4355
121	601	4329
122	603	4303
123	606	4283
124	608	4258
125	611	4240
126	613	4216
127	614	4187
128	616	4164
129	619	4142
130	621	4120
131	623	4102
132	626	4082
133	628	4060
134	630	4039
135	632	4017
136	634	3998
137	636	3978
138	639	3963
139	641	3942
140	643	3923
141	645	3903
142	648	3884
143	650	3865
144	652	3846
145	655	3831
146	657	3813
147	659	3795
148	661	3777
149	668	3787
150	672	3782
151	675	3769
152	678	3754
153	680	3737
154	682	3719
155	685	3709
156	687	3693
157	689	3676
158	691	3659
159	694	3643
160	696	3627
161	698	3610
162	701	3600
163	703	3585
164	705	3569
165	707	3555
166	709	3539
167	711	3524
168	713	3509
169	716	3498
170	718	3483
171	720	3468
172	722	3455
173	724	3441
174	726	3427
175	729	3413
176	731	3401
177	733	3387
178	735	3375
179	738	3362
180	740	3348
181	742	3335
182	744	3321
183	746	3311
184	748	3298
185	751	3288
186	753	3275
187	755	3263
188	757	3250
189	759	3239
190	762	3228
191	764	3216
192	770	3223
193	773	3213
194	778	3211
195	780	3203
196	783	3191
197	785	3180
198	787	3168
199	789	3156
200	792	3150
201	794	3140
202	796	3128
203	798	3117
204	801	3106
205	803	3095
206	805	3084
207	807	3075
208	810	3065
209	812	3055
210	814	3044
211	816	3033
212	818	3023
213	820	3012
214	822	3004
215	824	2994
216	827	2984
217	829	2974
218	831	2963
219	833	2954
220	835	2944
221	838	2937
222	840	2928
223	842	2918
224	844	2908
225	846	2899
226	848	2889
227	851	2882
228	853	2873
229	855	2864
230	857	2854
231	859	2845
232	861	2836
233	863	2827
234	866	2820
235	868	2811
236	870	2802
237	872	2793
238	874	2784
239	876	2775
240	878	2766
241	881	2760
242	883	2751
243	885	2743
244	887	2735
245	889	2727
246	891	2719
247	894	2711
248	898	2711
249	900	2702
250	903	2694
251	905	2686
252	907	2678
253	909	2670
254	915	2676
255	919	2672
256	921	2664
257	923	2656
258	930	2662
259	932	2654
260	935	2648
261	937	2641
262	940	2634
263	945	2637
264	951	2637
265	953	2629
266	955	2623
267	960	2624
268	966	2625
269	968	2618
270	972	2616
271	986	2639
272	992	2644
273	995	2637
274	998	2633
275	1003	2633
276	1007	2628
277	1009	2621
278	1012	2615
279	1015	2610
280	1018	2605
281	1020	2598
282	1022	2590
283	1024	2583
284	1027	2578
285	1031	2575
286	1035	2571
287	1037	2564
288	1039	2557
289	1042	2552
290	1044	2545
291	1049	2544
292	1051	2537
293	1053	2530
294	1057	2527
295	1059	2520
296	1065	2522
297	1067	2514
298	1070	2510
299	1072	2503
300	1074	2496
301	1079	2495
302	1081	2488
303	1083	2481
304	1086	2475
305	1088	2468
306	1090	2461
307	1095	2461
308	1097	2453
309	1101	2451
310	1103	2444
311	1105	2437
312	1109	2434
313	1111	2427
314	1114	2422
315	1116	2415
316	1118	2408
317	1119	2401
318	1123	2398
319	1125	2391
320	1127	2385
321	1130	2379
322	1132	2373
323	1134	2366
324	1136	2360
325	1139	2356
326	1141	2350
327	1144	2344
328	1146	2338
329	1148	2331
330	1151	2326
331	1153	2321
332	1156	2315
333	1158	2310
334	1160	2304
335	1162	2297
336	1166	2294
337	1169	2290
338	1171	2284
339	1173	2278
340	1175	2272
341	1177	2265
342	1180	2260
343	1183	2256
344	1190	2260
345	1192	2254
346	1195	2250
347	1197	2243
348	1204	2247
349	1206	2241
350	1209	2236
351	1211	2230
352	1220	2237
353	1224	2233
354	1226	2227
355	1234	2232
356	1238	2230
357	1240	2224
358	1242	2218
359	1252	2226
360	1254	2220
361	1256	2214
362	1258	2208
363	1263	2207
364	1265	2200
365	1267	2195
366	1269	2189
367	1271	2184
368	1273	2178
369	1280	2179
370	1283	2175
371	1285	2169
372	1287	2163
373	1293	2165
374	1298	2163
375	1300	2157
376	1302	2152
377	1307	2150
378	1309	2145
379	1311	2140
380	1313	2134
381	1316	2129
382	1318	2124
383	1324	2124
384	1329	2123
385	1332	2118
386	1334	2114
387	1343	2119
388	1346	2114
389	1349	2110
390	1353	2107
391	1359	2108
392	1361	2102
393	1364	2098
394	1366	2092
395	1370	2089
396	1372	2084
397	1374	2078
398	1376	2073
399	1379	2068
400	1381	2063
401	1387	2064
402	1390	2060
403	1393	2055
404	1395	2050
405	1399	2047
406	1409	2053
407	1411	2048
408	1417	2047
409	1423	2048
410	1425	2043
411	1427	2037
412	1435	2040
413	1438	2036
414	1440	2030
415	1442	2025
416	1446	2022
417	1453	2024
418	1456	2019
419	1458	2013
420	1462	2011
421	1469	2012
422	1471	2007
423	1473	2001
424	1478	1999
425	1485	2002
426	1487	1996
427	1490	1991
428	1494	1989
429	1501	1990
430	1504	1986
431	1510	1986
432	1517	1987
433	1519	1981
434	1524	1980
435	1531	1980
436	1534	1976
437	1537	1972
438	1542	1971
439	1548	1971
440	1551	1966
441	1553	1961
442	1557	1958
443	1559	1953
444	1562	1948
445	1564	1942
446	1566	1938
447	1568	1932
448	1572	1929
449	1579	1930
450	1582	1926
451	1584	1921
452	1593	1924
453	1597	1921
454	1599	1916
455	1605	1915
456	1611	1915
457	1615	1911
458	1620	1909
459	1623	1905
460	1626	1901
461	1629	1897
462	1632	1893
463	1636	1890
464	1638	1885
465	1640	1880
466	1643	1875
467	1645	1870
468	1647	1865
469	1649	1860
470	1651	1855
471	1654	1850
472	1820	2028
473	1826	2027
474	1833	2026
475	1839	2024
476	1843	2021
477	1853	2024
478	1866	2030
479	1883	2040
480	1888	2037
481	1899	2041
482	1918	2053
483	1931	2058
484	1934	2054
485	1939	2050
486	1962	2067
487	1970	2066
488	1978	2067
489	1982	2063
490	1986	2058
491	1996	2061
492	1999	2056
493	2002	2051
494	2008	2049
495	2012	2045
496	2016	2040
497	2021	2037
498	2026	2034
499	2029	2029
500	2041	2033
501	2044	2028
502	2055	2031
503	2058	2026
504	2065	2024
505	2068	2019
506	2070	2013
507	2073	2008
508	2079	2005
509	2081	1999
510	2083	1994
511	2086	1988
512	2088	1983
513	2094	1980
514	2097	1975
515	2099	1969
516	2102	1964
517	2105	1958
518	2107	1953
519	2109	1947
520	2113	1942
521	2115	1936
522	2117	1931
523	2120	1926
524	2124	1921
525	2126	1916
526	2128	1910
527	2131	1905
528	2134	1900
529	2136	1894
530	2140	1890
531	2142	1885
532	2145	1879
533	2147	1873
534	2149	1868
535	2151	1862
536	2156	1859
537	2158	1853
538	2160	1847
539	2163	1842
540	2165	1837
541	2169	1833
542	2171	1827
543	2174	1822
